iterationName	gameid	time	trialNum	role	block_num	time_in_ms	block	critter	critter_num	species	color	prop1	prop2	tar1	tar2	tar3	internal_prop	eventType
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504771	2	playerA	1	21433	learnCritters	bug	6	ackle	#B630F0	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504774	2	playerA	1	21433	learnCritters	bug	7	fep	#FF8C00	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504775	2	playerA	1	21433	learnCritters	bug	8	ackle	#B630F0	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504775	2	playerA	1	21433	learnCritters	bug	9	fep	#FF8C00	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504776	2	playerA	1	21433	learnCritters	bug	10	mox	#F52A37	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504776	2	playerA	1	21433	learnCritters	bug	11	mox	#F52A37	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564135	3	playerB	2	11467	learnCritters	fish	0	reesle	#EDCA00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564215	3	playerB	2	11467	learnCritters	fish	1	mook	#B630F0	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564215	3	playerB	2	11467	learnCritters	fish	2	mook	#B630F0	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564216	3	playerB	2	11467	learnCritters	fish	3	reesle	#EDCA00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564216	3	playerB	2	11467	learnCritters	fish	4	reesle	#EDCA00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564216	3	playerB	2	11467	learnCritters	fish	5	dorb	#5CA4DB	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564217	3	playerB	2	11467	learnCritters	fish	6	dorb	#5CA4DB	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564217	3	playerB	2	11467	learnCritters	fish	7	dorb	#5CA4DB	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564218	3	playerB	2	11467	learnCritters	fish	8	reesle	#EDCA00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564218	3	playerB	2	11467	learnCritters	fish	9	mook	#B630F0	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564259	3	playerB	2	11467	learnCritters	fish	10	mook	#B630F0	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739564259	3	playerB	2	11467	learnCritters	fish	11	dorb	#5CA4DB	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589054	3	playerA	2	27781	learnCritters	tree	0	ellep	#B630F0	0.2	0.2	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589057	3	playerA	2	27781	learnCritters	tree	1	jav	#FF8C00	0.2	0.2	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589058	3	playerA	2	27781	learnCritters	tree	2	oller	#F52A37	0.2	0.2	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589059	3	playerA	2	27781	learnCritters	tree	3	ellep	#B630F0	0.2	0.2	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589059	3	playerA	2	27781	learnCritters	tree	4	oller	#F52A37	0.2	0.2	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589060	3	playerA	2	27781	learnCritters	tree	5	jav	#FF8C00	0.2	0.2	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589060	3	playerA	2	27781	learnCritters	tree	6	ellep	#B630F0	0.2	0.2	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589061	3	playerA	2	27781	learnCritters	tree	7	ellep	#B630F0	0.2	0.2	false	false	false	1	logTrain
