"workerid","col4_crit","species","prop2_crit","trial_num","question","time_in_seconds","prop1_crit","critter","col1_crit","tar1_crit","tar2_crit","col3_crit","col2_crit","col4","col5","col2","col3","col1","response","condition","trial_type","prop1","prop2","col5_crit","tar2","tar1"
7,-99,"wug","fatness",9,"tar1",4.015,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fe1b","#104412","#0acd03","No","label_book","learning_trial",0.419707019181,0.576986612845,-99,0,0
7,-99,"blicket","fatness",10,"tar1",2.341,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fe4601","#e3de1a","#fc5418","Yes","label_book","learning_trial",0.821979605326,0.750637883793,-99,0,1
7,-99,"wug","fatness",11,"tar1",2.318,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fe1b","#154f1c","#58cb45","No","label_book","learning_trial",0.751783428836,0.869558152577,-99,0,0
7,-99,"wug","fatness",12,"tar2",2.208,"height","bird","crest","tail","crest","wing","body",-99,-99,"#00fe1a","#24af34","#35bf17","No","label_book","learning_trial",0.504283211209,0.418635495373,-99,0,1
8,-99,"blicket","fatness",1,"tar2",11.614,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fe4500","#e17c03","#f05512","No","pepsin_detector","learning_trial",0.0363610955222,0.735472288615,-99,0,1
8,-99,"blicket","fatness",2,"tar2",9.108,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fc4602","#e27517","#d02405","No","pepsin_detector","learning_trial",0.950069901713,0.825580588354,-99,0,1
8,-99,"blicket","fatness",3,"tar2",9.104,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fe4500","#f65413","#df4d09","No","pepsin_detector","learning_trial",0.353398676292,0.776939010354,-99,0,1
8,-99,"blicket","fatness",4,"tar2",11.412,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4500","#e9e313","#cf4411","No","pepsin_detector","learning_trial",0.271145719799,0.786868525103,-99,0,1
8,-99,"wug","fatness",5,"tar1",8.679,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fd1b","#0c4516","#2e9e2a","Yes","pepsin_detector","learning_trial",0.301592368351,0.604180377367,-99,0,1
8,-99,"rambo","fatness",6,"tar2",9.065,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fcfc01","#5fe203","#e8f22d","No","pepsin_detector","learning_trial",0.327098164274,0.661665955049,-99,0,0
